row_id,position,department,seniority
0,Bookkeeper,Administrative,2.0
1,Co-Owner,Business Development,5.0
2,Logistics Officer,Other,2.0
3,Truck driver/ laborer,Other,1.0
4,Fuel Driver,Other,1.0
5,Food Delivery Driver,Other,1.0
6,Regional driver,Other,1.0
7,delivery/sales/MIT,Sales,1.0
8,Strategy & Investments,Business Development,2.0
9,International Event Operations Manager,Project Management,5.0
10,Research Associate,Other,1.0
11,Law Clerk,Administrative,1.0
12,Audit Junior,Consulting,1.0
13,PR & Communication Consultant,Marketing,2.0
14,Regulatory Reporting Specialist,Administrative,2.0
15,Event Support,Marketing,1.0
16,Customer Service Assistant,Customer Support,1.0
17,Summer Research Intern,Other,1.0
18,Summer Research Intern,Other,1.0
19,Intern,Other,1.0
20,Summer Research Intern,Other,1.0
21,Corporate Auditor,Consulting,2.0
22,Corporate Auditor,Consulting,2.0
23,Consultant,Consulting,2.0
24,Marketing Manager,Marketing,5.0
25,Marketing Manager,Marketing,5.0
26,Geschäftsführerin,Other,5.0
27,Chief Operating Officer,Other,6.0
28,Marketing Manager,Marketing,5.0
29,Business Development Manager,Business Development,5.0
30,Business-Manager,Business Development,5.0
31,Marketing Manager,Marketing,5.0
32,Professor,Other,1.0
33,"Deputy Dean, Faculty of IT",Information Technology,5.0
34,Head of Department Software Systems and Cybersecurity,Information Technology,5.0
35,Associate Professor,Other,3.0
36,Research Director,Other,6.0
37,Director,Other,6.0
38,"Leader of Trusted Computing Research, European Research Centre",Information Technology,4.0
39,Head of Research Department Trust and Compliance,Other,5.0
40,Post-Doc Full-time Researcher,Other,1.0
41,Postgraduate Research Assistant,Other,1.0
42,Program Purchasing Leader / Program / Acquisition Buyer,Purchasing,4.0
43,Advanced Purchasing Engineer,Purchasing,3.0
44,Projekteinkäufer Türmodule,Purchasing,2.0
45,Fachspezialist Einkauf,Purchasing,2.0
46,Juiz de Direito,Other,3.0
47,Business Analyst,Business Development,2.0
48,Geschäftsführer,Other,5.0
49,Managementberater IT- und Governance,Consulting,5.0
50,CIO,Information Technology,6.0
51,Geschäftsführer,Other,5.0
52,IT-Bereichsleiter,Information Technology,5.0
53,Fachbereichsleiter IT-Services,Information Technology,5.0
